epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,13849.1,0.60919,0.30795,0.88651,0.97751,0.97192,0.9928,0.88934,0.54681,0.24786,0.87046,0.007327,0.007327,0.007327
56,15111.5,0.60807,0.30678,0.88481,0.97755,0.97193,0.99283,0.88993,0.54605,0.24762,0.86952,0.0072775,0.0072775,0.0072775
57,16360.2,0.60743,0.30637,0.88402,0.97769,0.97197,0.99285,0.89061,0.5451,0.24746,0.86816,0.007228,0.007228,0.007228
58,17617,0.60716,0.30615,0.88341,0.97795,0.972,0.99288,0.89102,0.54397,0.24672,0.86688,0.0071785,0.0071785,0.0071785
59,18875,0.60453,0.30469,0.88178,0.97815,0.97181,0.99288,0.89156,0.54302,0.24623,0.86578,0.007129,0.007129,0.007129
60,20125.9,0.60244,0.30349,0.88022,0.97821,0.97162,0.99288,0.89205,0.54189,0.24563,0.86472,0.0070795,0.0070795,0.0070795
61,21382,0.60007,0.30223,0.87965,0.97786,0.97202,0.99289,0.89243,0.54085,0.24474,0.86371,0.00703,0.00703,0.00703
62,22639.2,0.60071,0.3026,0.87982,0.97828,0.9718,0.99293,0.89288,0.53978,0.24389,0.86272,0.0069805,0.0069805,0.0069805
63,23897.2,0.59912,0.30162,0.87802,0.97838,0.97205,0.99295,0.8932,0.53873,0.24315,0.86165,0.006931,0.006931,0.006931
64,25152.9,0.59882,0.30165,0.87905,0.97809,0.9722,0.99293,0.8935,0.53769,0.24235,0.86086,0.0068815,0.0068815,0.0068815
65,26409.7,0.59743,0.30082,0.87939,0.97824,0.97222,0.99294,0.89377,0.53675,0.24167,0.86033,0.006832,0.006832,0.006832
66,27666.4,0.59704,0.30029,0.87773,0.97831,0.97226,0.99295,0.89413,0.5358,0.24092,0.85964,0.0067825,0.0067825,0.0067825
67,28924.7,0.59705,0.30014,0.87752,0.9784,0.97255,0.99299,0.89435,0.53483,0.24018,0.85906,0.006733,0.006733,0.006733
68,30184.6,0.59501,0.29941,0.87735,0.9783,0.97275,0.993,0.89465,0.53385,0.23946,0.85858,0.0066835,0.0066835,0.0066835
69,31442.8,0.59439,0.29931,0.87419,0.97863,0.97261,0.993,0.89535,0.53289,0.23888,0.85781,0.006634,0.006634,0.006634
70,32700.6,0.59346,0.29845,0.87666,0.97852,0.97294,0.99302,0.89594,0.53203,0.23822,0.85742,0.0065845,0.0065845,0.0065845
71,33957.8,0.59193,0.2976,0.87525,0.97849,0.97324,0.99302,0.89625,0.531,0.23764,0.85685,0.006535,0.006535,0.006535
72,35215.1,0.59167,0.29754,0.87655,0.97868,0.9732,0.99303,0.89658,0.5301,0.2372,0.85651,0.0064855,0.0064855,0.0064855
73,36467.2,0.59044,0.29676,0.87406,0.97849,0.97359,0.99303,0.89685,0.52922,0.23668,0.85606,0.006436,0.006436,0.006436
74,37713.7,0.59013,0.29648,0.87377,0.9785,0.97367,0.99306,0.8972,0.52826,0.23623,0.85548,0.0063865,0.0063865,0.0063865
75,38976.1,0.58713,0.2951,0.87257,0.97833,0.97404,0.99306,0.89747,0.52737,0.2357,0.85499,0.006337,0.006337,0.006337
76,40234.5,0.58723,0.29499,0.87334,0.97835,0.97403,0.99306,0.89775,0.52658,0.23523,0.85459,0.0062875,0.0062875,0.0062875
77,41496.2,0.58659,0.29467,0.87405,0.97824,0.9742,0.99306,0.89801,0.52573,0.23489,0.85435,0.006238,0.006238,0.006238
78,1256.84,0.57889,0.28933,0.87202,0.97829,0.97427,0.99307,0.89847,0.52486,0.2344,0.85403,0.0061885,0.0061885,0.0061885
79,2507.69,0.58526,0.29379,0.87376,0.97843,0.97422,0.99309,0.89868,0.52421,0.23397,0.85384,0.006139,0.006139,0.006139
80,3760.67,0.58538,0.29373,0.8723,0.97853,0.97424,0.99309,0.89881,0.52366,0.23374,0.85344,0.0060895,0.0060895,0.0060895
81,5012.26,0.58319,0.2923,0.87272,0.97865,0.9742,0.9931,0.89902,0.523,0.23336,0.85328,0.00604,0.00604,0.00604
82,6266.72,0.58391,0.29273,0.86989,0.97855,0.97436,0.99311,0.89921,0.52244,0.2331,0.85286,0.0059905,0.0059905,0.0059905
83,7522.48,0.58352,0.29262,0.86978,0.9786,0.97432,0.99312,0.89966,0.52179,0.23278,0.85244,0.005941,0.005941,0.005941
84,8778.71,0.58151,0.29213,0.86913,0.9789,0.97419,0.99314,0.89985,0.52106,0.23258,0.85187,0.0058915,0.0058915,0.0058915
85,10034.2,0.58016,0.2912,0.86762,0.97898,0.97423,0.99315,0.90008,0.52044,0.23235,0.85136,0.005842,0.005842,0.005842
86,11281.1,0.57937,0.29053,0.86801,0.97925,0.97401,0.99316,0.90032,0.51974,0.23195,0.85081,0.0057925,0.0057925,0.0057925
87,12528.5,0.57888,0.29047,0.86713,0.97843,0.97478,0.99316,0.90046,0.51905,0.23167,0.85033,0.005743,0.005743,0.005743
88,13782.2,0.57867,0.29024,0.86812,0.97813,0.97525,0.99317,0.9007,0.5184,0.23139,0.85002,0.0056935,0.0056935,0.0056935
89,15034.5,0.57739,0.28937,0.86557,0.97793,0.97539,0.99318,0.90088,0.51768,0.23109,0.84945,0.005644,0.005644,0.005644
90,16284.2,0.57723,0.28944,0.86768,0.97779,0.9758,0.99319,0.90105,0.5169,0.23076,0.8491,0.0055945,0.0055945,0.0055945
91,17537.4,0.57722,0.28917,0.86654,0.97781,0.97609,0.99321,0.90126,0.51622,0.23067,0.84862,0.005545,0.005545,0.005545
92,18789,0.57537,0.28805,0.86609,0.97774,0.97646,0.99322,0.90158,0.51552,0.23038,0.84819,0.0054955,0.0054955,0.0054955
93,20044.1,0.57368,0.28735,0.86634,0.97775,0.97655,0.99323,0.90188,0.51477,0.23022,0.84791,0.005446,0.005446,0.005446
94,21297.6,0.57199,0.28637,0.86268,0.9778,0.97658,0.99323,0.90213,0.51406,0.22997,0.84721,0.0053965,0.0053965,0.0053965
95,22551.6,0.57242,0.28688,0.8653,0.97771,0.97688,0.99324,0.90232,0.51335,0.22956,0.84688,0.005347,0.005347,0.005347
96,23809.7,0.57111,0.2859,0.86291,0.97771,0.97704,0.99325,0.90258,0.51268,0.22918,0.84638,0.0052975,0.0052975,0.0052975
97,25062.9,0.56987,0.28614,0.86332,0.97788,0.97686,0.99325,0.90281,0.51203,0.22902,0.84592,0.005248,0.005248,0.005248
98,26317.6,0.56781,0.28456,0.86349,0.97782,0.97711,0.99327,0.90333,0.51134,0.22865,0.84554,0.0051985,0.0051985,0.0051985
99,27570.1,0.56785,0.28459,0.86276,0.97822,0.97715,0.99329,0.90373,0.51057,0.22819,0.84505,0.005149,0.005149,0.005149
100,28826.1,0.56848,0.28464,0.86315,0.97824,0.97737,0.99331,0.904,0.50979,0.2278,0.84466,0.0050995,0.0050995,0.0050995
101,30082,0.56629,0.28385,0.86103,0.97814,0.97759,0.99332,0.90426,0.50885,0.22739,0.84407,0.00505,0.00505,0.00505
102,31340.5,0.56645,0.2836,0.86313,0.97845,0.97723,0.99333,0.90448,0.50804,0.22711,0.84383,0.0050005,0.0050005,0.0050005
103,32600.5,0.56476,0.28295,0.85952,0.9787,0.97724,0.99334,0.90478,0.50725,0.22677,0.84329,0.004951,0.004951,0.004951
